,0,1,2,3,4,5
0,1654642800000,0.0804,0.0804,0.0799,0.0802,993305.0
1,1654643100000,0.0802,0.0806,0.0802,0.0805,1254557.0
2,1654643400000,0.0805,0.0806,0.0805,0.0805,289112.0
3,1654643700000,0.0805,0.0805,0.0802,0.0803,1046889.0
4,1654644000000,0.0803,0.0806,0.0802,0.0806,680429.0
5,1654644300000,0.0806,0.0806,0.0805,0.0805,124134.0
6,1654644600000,0.0805,0.0806,0.0805,0.0805,267211.0
7,1654644900000,0.0805,0.0806,0.0803,0.0804,3548081.0
8,1654645200000,0.0804,0.0809,0.0804,0.0807,598120.0
9,1654645500000,0.0807,0.0808,0.0804,0.0804,881652.0
10,1654645800000,0.0804,0.0804,0.0802,0.0804,120255.0
11,1654646100000,0.0804,0.0804,0.0802,0.0802,534613.0
12,1654646400000,0.0802,0.0804,0.0801,0.0802,1262630.0
13,1654646700000,0.0802,0.0803,0.08,0.0802,338561.0
14,1654647000000,0.0802,0.0805,0.0801,0.0805,314138.0
15,1654647300000,0.0805,0.0805,0.0803,0.0804,153194.0
16,1654647600000,0.0804,0.0806,0.0803,0.0805,518718.0
17,1654647900000,0.0805,0.0807,0.0804,0.0807,241159.0
18,1654648200000,0.0807,0.081,0.0807,0.0809,1875573.0
19,1654648500000,0.0809,0.0809,0.0806,0.0808,692933.0
20,1654648800000,0.0808,0.0809,0.0807,0.0808,367387.0
21,1654649100000,0.0808,0.0809,0.0806,0.0807,140575.0
22,1654649400000,0.0807,0.0809,0.0807,0.0809,240197.0
23,1654649700000,0.0809,0.0811,0.0808,0.0808,585584.0
24,1654650000000,0.0808,0.0808,0.0804,0.0805,1326235.0
25,1654650300000,0.0805,0.0805,0.0801,0.0803,503998.0
26,1654650600000,0.0803,0.0805,0.0802,0.0804,531100.0
27,1654650900000,0.0804,0.0806,0.0803,0.0804,1661086.0
28,1654651200000,0.0804,0.0807,0.0804,0.0807,518728.0
29,1654651500000,0.0807,0.0807,0.0805,0.0807,84614.0
30,1654651800000,0.0807,0.0809,0.0805,0.0807,450812.0
31,1654652100000,0.0807,0.0809,0.0806,0.0808,480310.0
32,1654652400000,0.0808,0.081,0.0808,0.0809,174324.0
33,1654652700000,0.0809,0.0809,0.0808,0.0808,383093.0
34,1654653000000,0.0808,0.081,0.0808,0.081,279299.0
35,1654653300000,0.081,0.081,0.081,0.081,364.0
36,1654653600000,0.081,0.0812,0.0809,0.0812,361284.0
37,1654653900000,0.0812,0.0816,0.0811,0.0814,939447.0
38,1654654200000,0.0814,0.0815,0.0813,0.0813,331183.0
39,1654654500000,0.0813,0.0814,0.0812,0.0812,106187.0
40,1654654800000,0.0812,0.0812,0.081,0.081,303433.0
41,1654655100000,0.081,0.0811,0.0809,0.081,111504.0
42,1654655400000,0.081,0.0812,0.081,0.0812,123890.0
43,1654655700000,0.0812,0.0813,0.0811,0.0812,713531.0
44,1654656000000,0.0812,0.0813,0.081,0.0811,209823.0
45,1654656300000,0.0811,0.0811,0.081,0.0811,222513.0
46,1654656600000,0.0811,0.0812,0.0809,0.081,474879.0
47,1654656900000,0.081,0.0811,0.081,0.081,328420.0
48,1654657200000,0.081,0.0811,0.0809,0.0811,591726.0
49,1654657500000,0.0811,0.0811,0.0807,0.0807,672518.0
50,1654657800000,0.0807,0.0807,0.0805,0.0807,204569.0
51,1654658100000,0.0807,0.0807,0.08,0.08,1037455.0
52,1654658400000,0.08,0.0802,0.0797,0.0799,2549516.0
53,1654658700000,0.0799,0.0799,0.0793,0.0794,2071039.0
54,1654659000000,0.0794,0.0795,0.0789,0.0789,1787462.0
55,1654659300000,0.0789,0.0793,0.0789,0.0792,978788.0
56,1654659600000,0.0792,0.0793,0.0791,0.0791,137900.0
57,1654659900000,0.0791,0.0797,0.0791,0.0797,788597.0
58,1654660200000,0.0797,0.0797,0.0793,0.0794,333254.0
59,1654660500000,0.0794,0.0795,0.0793,0.0794,311901.0
60,1654660800000,0.0794,0.0795,0.0793,0.0795,259221.0
61,1654661100000,0.0795,0.0795,0.0793,0.0795,535979.0
62,1654661400000,0.0795,0.0799,0.0795,0.0797,910379.0
63,1654661700000,0.0797,0.0799,0.0796,0.0796,139155.0
64,1654662000000,0.0796,0.0799,0.0796,0.0799,138871.0
65,1654662300000,0.0799,0.0799,0.0798,0.0798,73325.0
66,1654662600000,0.0798,0.0799,0.0798,0.0798,134137.0
67,1654662900000,0.0798,0.0799,0.0798,0.0799,244833.0
68,1654663200000,0.0799,0.08,0.0799,0.08,124473.0
69,1654663500000,0.08,0.0801,0.0799,0.08,335433.0
70,1654663800000,0.08,0.0801,0.0799,0.0799,581296.0
71,1654664100000,0.0799,0.0799,0.0797,0.0798,265616.0
72,1654664400000,0.0798,0.08,0.0797,0.0799,227577.0
73,1654664700000,0.0799,0.08,0.0799,0.0799,147037.0
74,1654665000000,0.0799,0.0799,0.0798,0.0799,296316.0
